id,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
IR,19472,43448,26603,14446,9968,17181,15352,22388,45923,39301,26007,23261,34989,18364,16588,21131,23735,49098,71436,93278,93718,102277,118695,92853,127694,92944,79533,196372,318597,242730,496894,377102,420941,565479,621147,572835,986811,908047,763186,118364
YM,832,985,984,1254,1038,690,798,3347,1338,1057,1134,2048,1524,1630,2215,11613,4143,6025,6036,9571,10483,11185,10672,11732,11196,10788,7551,10796,13912,26408,82775,101733,198977,113552,77008,131729,321227,181751,177962,18839
FI,1632,1658,1066,1538,1864,1674,2857,2408,2360,2306,2259,2783,2118,2390,1385,2779,2502,3753,7081,5172,15357,6882,4968,4209,5032,4364,5176,12559,10554,13415,30463,25146,33758,30794,29919,39861,57341,64788,60104,7374
GZ,186,212,193,482,207,210,183,242,618,2545,2011,1363,1051,1247,2562,6777,4386,4410,3035,4363,3087,5979,11745,10075,9961,15633,11248,19665,32882,39170,51377,20434,23025,23447,12775,49653,23066,25221,21475,4522
NH,2,273,31,27,69,17,53,194,262,325,125,129,147,176,44,162,226,538,452,414,339,312,867,600,463,978,429,528,1083,912,1463,2276,2070,1953,1998,2166,10860,9023,8505,873
VE,1163,1070,1464,1652,2920,2283,1946,1889,2489,1596,2102,1963,2576,2543,2647,3175,2643,4497,4921,5635,11097,11764,12709,15008,16063,12571,11558,19069,30857,56692,92301,51639,52881,60320,84541,83278,105948,115424,145495,16024
DO,111,17,167,122,320,113,276,111,192,37,51,15,28,20,82,150,146,222,153,180,132,431,539,462,533,759,434,390,591,860,1656,907,1009,1334,890,1578,6666,5166,8519,550
AV,13,4,14,2,7,25,2,2,7,4,11,0,1,0,1,53,53,76,36,28,108,102,97,53,48,42,58,43,88,212,357,465,669,728,868,867,2481,2517,3695,259
FM,62,84,105,74,157,141,136,107,150,95,72,106,157,85,169,130,275,470,800,754,1357,1765,1984,2330,2753,3141,2845,4255,5956,7997,16948,17103,21420,30024,22708,28697,3420,4410,2884,357
SM,39,52,5,5,17,57,23,28,13,19,4,5,27,10,0,1,28,9,30,73,33,81,20,18,14,51,42,29,66,81,399,187,486,686,993,457,978,871,821,141
